,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
4182,22647,The Man Who Shot Liberty Valance,3200000,8000000,8000000
4183,7/16/2004,Maria Full of Grace,3200000,6529624,14441158
4184,40608,Beginners,3200000,5790894,14314407
4185,7/29/2009,Adam,3200000,2277396,2828590
4186,9/22/2006,Feast,3200000,56131,690872
4187,16803,It's a Wonderful Life,3180000,6600000,9644124
4188,7/19/1996,Trainspotting,3100000,16501785,71561772
4189,41612,Antiviral,3100000,0,123407
4190,7/28/1978,National Lampoon's Animal House,3000000,141600000,141600000
4191,10/20/2010,Paranormal Activity 2,3000000,84752907,177512032
4192,8/28/2015,War Room,3000000,67790117,73975239
4193,41461,The Purge,3000000,64473115,91265155
4194,12/22/1964,Goldfinger,3000000,51100000,124900000
4195,41253,Sinister,3000000,48086903,87727807
4196,8/18/2000,The Original Kings of Comedy,3000000,38168022,38236338
4197,12/18/1957,The Bridge on the River Kwai,3000000,33300000,33300000
4198,28491,Coming Home,3000000,32653000,32653000
4199,11/20/1998,Waking Ned Devine,3000000,24793251,55193251
4200,35438,Air Bud,3000000,24646936,27788649
4201,37570,Bowling for Columbine,3000000,21576018,58240487
4202,31058,A Nightmare On Elm Street Part 2: Freddy's Revenge,3000000,21163999,21163999
4203,31596,A Room with a View,3000000,20966644,20966644
4204,27673,Love and Death,3000000,20123742,20123742
4205,31420,Friday the 13th Part VI: Jason Lives,3000000,19472057,19472057
4206,37295,Martin Lawrence Live: RunTelDat,3000000,19184820,19184820
4207,21916,The Apartment,3000000,18600000,24600000
4208,9/20/1958,Cat on a Hot Tin Roof,3000000,17570324,17570324
4209,5/26/1970,Beneath the Planet of the Apes,3000000,17489009,17489009
4210,37046,Pokemon 3: The Movie,3000000,17052128,68452128
4211,8/13/1993,Jason Goes to Hell: The Final Friday,3000000,15935068,15935068
4212,4/27/1990,Spaced Invaders,3000000,15000000,15000000
4213,28007,Family Plot,3000000,13200000,13200000
4214,7/16/1966,Torn Curtain,3000000,13000000,13000000
